Laverne Clark,Frank Caracci,1999-01-08 00:00:00,16
Tito Ortiz,Guy Mezger,1999-03-05 00:00:00,18
Gary Goodridge,Andre Roberts,1999-03-05 00:00:00,18
Jeremy Horn,Chuck Liddell,1999-03-05 00:00:00,19
Kevin Randleman,Maurice Smith,1999-03-05 00:00:00,17
Evan Tanner,Valeri Ignatov,1999-03-05 00:00:00,16
Pete Williams,Jason Godsey,1999-03-05 00:00:00,16
Sione Latu,Joey Roberts,1999-03-05 00:00:00,16
Bas Rutten,Kevin Randleman,1999-05-07 00:00:00,16
Pedro Rizzo,Tra Telligman,1999-05-07 00:00:00,15
Pete Williams,Travis Fulton,1999-05-07 00:00:00,16
Wanderlei Silva,Tony Petarra,1999-05-07 00:00:00,17
Marcelo Mello,David Roberts,1999-05-07 00:00:00,16
Laverne Clark,Fabiano Iha,1999-05-07 00:00:00,15
Ron Waterman,Chris Condo,1999-05-07 00:00:00,16
Maurice Smith,Marco Ruas,1999-07-16 00:00:00,18
Pat Miletich,Andre Pederneiras,1999-07-16 00:00:00,14
Jeremy Horn,Daiju Takase,1999-07-16 00:00:00,17
Paul Jones,Flavio Luiz Moura,1999-07-16 00:00:00,16
Tsuyoshi Kohsaka,Tim Lajcik,1999-07-16 00:00:00,16
Eugene Jackson,Royce Alger,1999-07-16 00:00:00,16
Andre Roberts,Ron Waterman,1999-07-16 00:00:00,17
Travis Fulton,David Dodd,1999-07-16 00:00:00,17
Frank Shamrock,Tito Ortiz,1999-09-24 00:00:00,15
Jeremy Horn,Jason Godsey,1999-09-24 00:00:00,16
Brad Kohler,Steve Judson,1999-09-24 00:00:00,17
Chuck Liddell,Paul Jones,1999-09-24 00:00:00,17
Matt Hughes,Valeri Ignatov,1999-09-24 00:00:00,16
John Lewis,Lowell Anderson,1999-09-24 00:00:00,16
Kevin Randleman,Pete Williams,1999-11-19 00:00:00,18
Pedro Rizzo,Tsuyoshi Kohsaka,1999-11-19 00:00:00,16
Kenichi Yamamoto,Katsuhisa Fujii,1999-11-19 00:00:00,16
Joe Slick,Jason DeLucia,1999-11-19 00:00:00,17
Eugene Jackson,Keiichiro Yamamiya,1999-11-19 00:00:00,16
Kenichi Yamamoto,Daiju Takase,1999-11-19 00:00:00,15
Katsuhisa Fujii,Masutatsu Yano,1999-11-19 00:00:00,17
Tedd Williams,Steve Judson,2000-03-10 00:00:00,16
